PMID,Title,Abstract,Authors,Journal,Mesh Terms,URL,Affiliations
41552932,Individualised total knee arthroplasty demonstrates 99.4% survival at 3 to 5 years.,"The purpose of this multicentre observational study is to evaluate implant survival and patient-reported outcome measures (PROMs) at 3-5 years following individualised total knee arthroplasty (TKA). A consecutive series of 426 patients (434 knees) underwent CT-based, posterior-stabilised, cemented, individualised TKA between December 2018 and August 2020. After excluding 73 patients without informed consent, 353 patients (361 knees) were included for survival analysis. A further 74 were excluded (revised = 2, deceased = 11, inadequate follow-up = 61), resulting in a final cohort of 279 patients (287 knees) for PROMs assessment. Implant survival was evaluated using the Kaplan-Meier (KM) method, with revision of any component for any reason as the endpoint at 2- and 3-year follow-ups. Patients completed pre and postoperative questionnaires of the Oxford knee score (OKS) and the forgotten joint score (FJS), and also rated their level of satisfaction on a 4-level Likert scale. The proportion of patients who achieved a patient acceptable symptom state (PASS) was estimated according to the threshold of 30 for OKS and 38 for FJS. Considering revision for any reason as endpoint, the survival according to the KM method was 99.4% (95%C.I. 98.6%-100.0%) at both 2- and 3-year follow-up. The OKS improved from 22.2 ± 8.4 to 40.6 ± 7.6, and 244 knees (85%) achieved the PASS. The FJS improved from 16.7 ± 14.6 to 68.5 ± 27.7, and 233 (81%) achieved the PASS. Out of the 254 knees with their rated level of satisfaction, 250 (98.4%) were either satisfied or very satisfied. At 3 to 5 years' follow-up, individualised TKA demonstrated excellent implant survival (99.4%), as well as high patient satisfaction, both considering and disregarding non-respondents (87.1% and 98.4% respectively). The results are promising and warrant continued follow-up to evaluate long-term results. Level IV.","Tibesku Carsten, Aït-Si-Selmi Tarik, Müller Jacobus Hendrik, Saffarini Mo, Bonnin Michel Pierre","Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA",,https://pubmed.ncbi.nlm.nih.gov/41552932/,"KniePraxis, Straubing, Germany.; Klinik und Hotel St. Wolfgang Bad, Griesbach, Germany.; Orthopädische Fachklinik, Schwarzach, Germany.; Ramsay Santé, Hôpital Privé Jean Mermoz, Centre Orthopédique Santy, Lyon, France.; ReSurg SA, Nyon, Switzerland."
41541989,Acetabular Distraction and the Cup-in-Cup Technique for the Management of Pelvic Discontinuity: A Case Report.,"Periprosthetic pelvic discontinuity is a rare but challenging complication in revision total hip arthroplasty (THA), particularly in the setting of severe acetabular bone loss. Restoration of the hip center and limb length, along with achieving implant stability, are critical for successful outcomes. We present a 68-year-old male with recurrent dislocations and a chronic flexible periprosthetic pelvic discontinuity of the left hip, likely originating from an intraoperative fracture during a prior THA revision, classified as Paprosky IIIB and American Academy of Orthopaedic Surgeons (AAOS) type IV. Imaging revealed a transverse fracture involving the iliopubic and ilioischial rami with significant bone loss. The patient underwent revision arthroplasty using acetabular distraction combined with a modular double-cup construct. A trabecular metal shell was used as a super-augment, and a smaller dual-mobility cup was cemented within the shell to restore the hip center, offset, and limb length. Postoperatively, the patient achieved stable fixation with restoration of limb length and hip biomechanics. Early functional outcomes were favorable, and radiographs demonstrated maintenance of the hip center without evidence of loosening. Acetabular distraction with a modular double-cup construct is an effective strategy for managing chronic flexible periprosthetic pelvic discontinuity with severe acetabular bone loss, providing immediate mechanical stability, restoring the hip center and offset, and offering a reproducible alternative to traditional reconstruction methods.","Ponce de Leon Sandoval Iturbide A, Soriano Solís Héctor A, Herce Santisteban Alejandro, Kerbel Sutton Jacobo, González Ugalde Humberto",Cureus,,https://pubmed.ncbi.nlm.nih.gov/41541989/,"Orthopedics and Traumatology Center, American British Cowdray (ABC) Medical Center, Mexico City, MEX.; Hip and Knee Replacement, American British Cowdray (ABC) Medical Center, Mexico City, MEX."
41541961,The First Bilateral Staged Oxford Cementless Unicompartmental Knee Arthroplasty in Louisiana Following FDA Approval: A Case Report.,"We present the case of a 63-year-old woman with bilateral medial compartment osteoarthritis who underwent the first staged bilateral cementless Oxford unicompartmental knee arthroplasty (OUKA) performed in the state of Louisiana shortly after its FDA approval in 2024. The patient had a five-year history of progressively worsening knee pain refractory to conservative therapy, including corticosteroid injections and physical therapy. Imaging confirmed isolated medial compartment disease with preserved lateral compartments and intact cruciate ligaments. Following the right OUKA, she demonstrated rapid recovery, full extension, and near-complete resolution of pain within four weeks. Due to persistent pain in the contralateral knee, a left OUKA was performed six weeks later with similarly favorable results. Postoperative imaging confirmed appropriate prosthesis positioning bilaterally without evidence of loosening, migration, or malalignment. The patient resumed full ambulation and reported restoration of functional capacity. This case highlights the early postoperative benefits and potential long-term promise of cementless OUKA, including faster recovery, reduced surgical time, and avoidance of cement-related complications. The implant's titanium and hydroxyapatite coating may further enhance biological fixation and durability. As cementless technology gains traction in the United States, continued follow-up and longitudinal studies will be essential to confirm its long-term survivorship and clinical efficacy compared to traditional cemented designs.","Villar Nicholas M, Lee Grace, Vo Joseph, Cluney Cameron, Dennis Lee A, Dittmar Jenna",Cureus,,https://pubmed.ncbi.nlm.nih.gov/41541961/,"Orthopedics, Edward Via College of Osteopathic Medicine, Monroe, USA.; Ophthalmology, Edward Via College of Osteopathic Medicine, Monroe, USA.; Emergency Medicine, Edward Via College of Osteopathic Medicine, Monroe, USA.; Medicine, Edward Via College of Osteopathic Medicine, Monroe, USA.; Anatomy, Edward Via College of Osteopathic Medicine, Monroe, USA."
41541461,A Step Beyond Convention: Three-Stage Revision with Limb Reconstruction System Fixator for Chronic Infected Total Knee Arthroplasty - A Case Report.,"Chronic periprosthetic joint infection (PJI) following total knee arthroplasty (TKA) is a limb-threatening complication, especially in the presence of sinus tract formation, bone loss, and failed prior revisions. While two-stage revision remains the standard of care, its success is limited in complex infections. We present a single case of chronic infected TKA with a discharging sinus managed successfully using a three-stage revision protocol. The treatment involved implant removal and antibiotic-loaded cement spacer insertion, interim stabilization using a Limb Reconstruction System (LRS) external fixator, and definitive revision TKA. The three-stage revision strategy with interim LRS fixation achieved complete infection eradication, restoration of limb alignment, and satisfactory functional outcome. This approach represents a reliable salvage option in complex chronic PJI cases.","Purushothaman V, Kavilakshmanan R",Journal of orthopaedic case reports,,https://pubmed.ncbi.nlm.nih.gov/41541461/,"Department of Orthopaedics, Government Tirunelveli Medical College and Hospital, Tirunelveli, Tamil Nadu, India."
41537033,Fast-setting Bone Cement in Total Knee Arthroplasty: A Case Series Looking at Safety and Short-term Radiological Outcomes.,"Fast-setting high viscosity cement was introduced in the last decade, offering arthroplasty surgeons the benefit of shortened setting time. This could reduce the operating time, which may reduce the risk of infection and improve theatre efficiency. PALACOS® Fast R+G high viscosity cement has an average setting time of less than 6 minutes (30% faster than regular PALACOS® R+G) due to the lack of a waiting phase. The aim of this study was to investigate the safety of total knee arthroplasty performed using this fast-setting, high viscosity cement and short-term radiological outcomes. This single surgeon case series looked at 344 primary TKAs performed using PALACOS® fast R+G cement from January 2016 to March 2020. Data were collected on patient demographics, perioperative events, and complications. Radiographs taken immediately post-operatively and at the one-year follow-up were analysed using the Knee Society Roentgenographic Evaluation and Scoring System (KSRESS). This case series included 313 consecutive patients (31 bilateral) with a mean age of 70 years (range 44-93). A total of 237 patients (76%, 262 TKA patients) had a minimum one-year follow-up. No adverse events were noted perioperatively; ten patients had superficial wound issues and were managed successfully with wound care and/or oral antibiotics. Six (1.7%) patients underwent re-operation in the study period. These included one DAIR, one staged revision for deep infection, two revisions for instability, one manipulation under anaesthetic for stiffness, and one patella internal fixation for fracture. The mean combined valgus angle for the prosthesis was 183.1° (range 177.7° to 187.8°), indicating adequate alignment. At one-year follow-up, no radiographs demonstrated any new loosening or worsening of any previously noted radiolucent lines. This study reports the largest case series that looks at the use of fast-setting bone cement in primary TKA. It demonstrates good safety, as evidenced by a low re-operation rate, deep infection rate, and no adverse events during implantation. Fast-setting cement offers the promise of improving theatre efficiency and decreasing total running costs. Further studies are needed to provide data on improved theatre efficiency, cost savings and the longevity of implanted knees utilising this cement.","D'sa P, Mercer S, Ghosh S, Thomas B K, Atkinson L, Bajada S, Williams R",Malaysian orthopaedic journal,,https://pubmed.ncbi.nlm.nih.gov/41537033/,"Department of Trauma and Orthopaedics, Glangwili General Hospital (GGH), Carmarthen, United Kingdom."
41513075,Contemporary Outcomes of Highly Porous Metaphyseal Cones in Revision Total Knee Arthroplasty: A Systematic Review and Meta-Analysis.,"Metaphyseal bone loss represents a major reconstructive challenge in revision total knee arthroplasty (RTKA). Highly porous metaphyseal cones have potential for osseointegration and durable fixation. While early evidence was limited to tantalum cones, newer designs, such as three-dimensional-printed titanium cones, have been introduced by multiple manufacturers, necessitating an updated synthesis of the literature. PubMed, Scopus, and Cochrane databases were searched from inception through October 1, 2024. Eligible studies included randomized controlled trials and observational cohorts reporting clinical or radiological outcomes of metaphyseal cones in RTKA with a minimum 1-year follow-up. Demographics, implant characteristics, functional scores, survivorship, cone removal rates, and radiographic outcomes were recorded. Pooled analyses were performed using random-effects models, with subgroup analyses by cone material and fixation type. There were 63 studies comprising 4,433 patients and 5,435 cones that were included, with 79.9% of femora and 75.4% of tibiae involving Anderson Orthopaedic Research Institute Type 2B or 3 defects. Significant improvements in function were observed, with pooled Knee Society Score Knee and Function scores of 77.4 (95% confidence interval [CI], 70.6 to 84.3) and 67.5 (95% CI, 58.4 to 76.6), respectively. The pooled all-cause re-revision rate at a weighted mean follow-up of 49.7 months was 13.5% (95% CI, 11.0 to 16.2%), most commonly due to infection, while cone removal occurred in 3.6% (95% CI, 2.2 to 5.2%), with aseptic loosening accounting for only 0.7%. Radiographic osseointegration was achieved in 96.0% (95% CI, 92.5 to 98.5%). Subgroup analyses demonstrated no significant difference in survivorship between tantalum versus titanium cones (3.7% versus 2.2%, P = 0.199), or cemented versus hybrid fixation (4.7 versus 1.9%, P = 0.274). Modern metaphyseal cones have high osseointegration rates and implant survivorship in RTKA. Failure due to aseptic loosening is exceedingly rare, with infection being the predominant cause of cone revision. These findings support metaphyseal cones as a reliable solution for managing severe bone loss in RTKA, with comparable outcomes noted across different cone materials and fixation strategies.","Goh Graham S, Lee Seungjun, Singh Kevin, Travers Hannah I, Kuznetsov Mikhail, Thomas Terence L, Smith Eric L",The Journal of arthroplasty,,https://pubmed.ncbi.nlm.nih.gov/41513075/,"Department of Orthopaedic Surgery, Boston University Medical Center, Boston, Massachusetts. Electronic address: goh.graham@gmail.com.; Boston University Chobanian and Avedisian School of Medicine, Boston, Massachusetts.; Department of Orthopaedic Surgery, New England Baptist Hospital, Boston, Massachusetts.; Rothman Orthopaedic Institute at Thomase Jefferson University, Philadelphia, Pennsylvania."
41513074,External Validation of a New Classification for Bone Loss in Failed Stemmed Prostheses after Revision Total Knee Arthroplasty.,"Evaluation and management of bone loss in revision total knee arthroplasty (rTKA) poses a demanding challenge. The rising number of knee revisions and re-revisions has led to increasing bone loss severity, and previous bone loss classification systems fail to provide adequate assessment of the diaphysis. The Scuderi Classification was recently introduced to better assess diaphyseal bone loss and underwent internal validation. The purpose of this study was to perform an external validation using preoperative radiographs of failed stemmed rTKA and describe the interobserver and intraobserver reliability. From our institutional database, 128 preoperative radiographs of failed rTKAs with stemmed prostheses awaiting re-revision were identified. There were 120 stemmed femoral prostheses (60 cemented, 60 hybrid fixation) and 120 stemmed tibial prostheses (60 cemented, 60 hybrid fixation) that were subject to analysis. There were two readers who had similar experience levels who scored the cases according to the Scuderi classification, and each reader performed two independent reads at least two weeks apart from the first read. The levels of interobserver and intraobserver reliability were determined by the intraclass correlation coefficients (ICC). Strong ICC for both femur (total: 0.96) and tibia (total: 0.89) has been demonstrated among the graders. Intraobserver reliability of 0.86 (grader one) and 0.79 (grader two) for femur and 0.8 (grader one) and 0.71 (grader two) for tibia demonstrated satisfactory agreement. Absolute score congruency between the readers was 86.7% for the femur and 89.2% for the tibia, showing excellent grading reproducibility for this new classification. This study provided an external validation of this bone loss classification in revision prosthesis with strong to near-perfect interobserver and intraobserver reliability. Based on our reported results, we advocate the use of this intuitive grading scheme, which can facilitate bone loss evaluation and may provide a future foundation to assist with implant selection in these complex cases.","Herold Johannes M, Shin Jonggu, Song Young Dong, Nocon Allina A, Boettner Friedrich, Sculco Peter K",The Journal of arthroplasty,,https://pubmed.ncbi.nlm.nih.gov/41513074/,"Stavros Niarchos Foundation Complex Joint Reconstruction Center, Hospital For Special Surgery, New York, NY 10021, United States. Electronic address: johannes.herold@outlook.com.; Stavros Niarchos Foundation Complex Joint Reconstruction Center, Hospital For Special Surgery, New York, NY 10021, United States.; Stavros Niarchos Foundation Complex Joint Reconstruction Center, Hospital For Special Surgery, New York, NY 10021, United States; Department of Orthopaedic Surgery, Eulji University, Republic of Korea.; Adult Reconstruction and Joint Replacement Service, Department of Orthopedic Surgery, Hospital for Special Surgery; Stavros Niarchos Foundation Complex Joint Reconstruction Center, Hospital For Special Surgery, New York, NY 10021, United States.; Adult Reconstruction and Joint Replacement Service, Department of Orthopedic Surgery, Hospital for Special Surgery, New York, NY 10021, United States."
41498960,Current concepts of medial unicompartmental knee replacement: part 2-hot topics and further directions.,,"Cerciello Simone, Proietti Lorenzo, Mocini Fabrizio, Corona Katia, Venosa Michele, Mercurio Michele, Neyret Philippe",Archives of orthopaedic and trauma surgery,,https://pubmed.ncbi.nlm.nih.gov/41498960/,"Saint Camillus International University of Health and Medical Sciences, Rome, Italy.; Saint Camillus International University of Health and Medical Sciences, Rome, Italy. proiettilorenzo@hotmail.com.; University of Molise, Campobasso, Italy.; University of L'Aquila, L'Aquila, Italy.; Magna Graecia University, Catanzaro, Italy.; Reem hospital, Abu Dhabi, United Arab Emirates."
41482930,Migration in unicompartmental knee arthroplasty with the Persona Partial Knee: a cohort study of 26 patients using radiostereometry with 60 months of follow-up.," Migration is an early sign of loosening. We investigated the migration and stability of the cemented Persona Partial Knee (PPK, Zimmer Biomet, Warsaw, IN, USA), for both the femoral and tibial component, and evaluated the clinical results at 5 years' follow-up.  In this prospective cohort study, primary cemented PPKs were implanted. Migration of the tibial and femoral component at 5 years postoperatively was calculated using model-based radiostereometric analysis (mRSA) in terms of translations and rotations. To evaluate the clinical results, a clinical examination was performed using the Knee Society Score (KSS), and PROMs (NRS pain, KOOS-PS, OKS, EQ-5D) were registered.  26 patients were included. At 5 years postoperatively, we found low migration of both the tibial and femoral component, namely a translation of < 0.21 mm and rotation of < 0.75° in all directions for both components. Compared with 2 years' follow-up, the tibial components showed an increased total translation and total rotation at 5 years. The femoral components showed stable migration compared with 2 years' follow-up. The KSS decreased between 2 and 5 years, while the PROMs remained stable between 2 and 5 years' follow-up.  The PPK showed low migration of both the tibial and femoral components at 5 years' follow-up. The femoral component was stable between 2 and 5 years, while the tibial component still migrated.","Pasma Jantsje H, Hesseling Brechtje, De Esch Nicole, Verburg Hennie, Niesten Dieu D, Mathijssen Nina M C",Acta orthopaedica,"Humans, Arthroplasty, Replacement, Knee, Radiostereometric Analysis, Male, Female, Knee Prosthesis, Aged, Follow-Up Studies, Prospective Studies, Prosthesis Failure, Middle Aged, Osteoarthritis, Knee, Prosthesis Design, Knee Joint, Range of Motion, Articular",https://pubmed.ncbi.nlm.nih.gov/41482930/,"Reinier Haga Orthopedisch Centrum, Zoetermeer, The Netherlands. j.pasma@rhoc.nl.; Reinier Haga Orthopedisch Centrum, Zoetermeer; Department of Orthopedics, Reinier de Graaf Hospital, Delft, The Netherlands."
41464794,Early Outcomes of Cruciate-Retaining Versus Posterior-Stabilized Total Knee Arthroplasty in Younger Patients: A Prospective Eastern European Cohort Study.,"<b>Background/Objectives</b>: Cruciate-retaining (CR) and posterior-stabilized (PS) total knee arthroplasty (TKA) are both widely used in primary knee osteoarthritis (KOA), but evidence in younger patients remains limited. This study compared functional outcomes, pain, range of motion, quality of life, and psychological status between CR and PS implants in an Eastern European cohort. <b>Methods</b>: A prospective comparative cohort study was conducted in patients aged 40-64 years undergoing primary cemented TKA. The primary outcome was change in the Lower-Extremity Functional Scale (LEFS) at 12 months. Secondary outcomes included the Lysholm Knee Scoring Scale, EQ5D5L index, visual analogue scale (VAS) for pain, PROMIS Depression score, active knee flexion, and patient satisfaction. Outcomes were evaluated at baseline, 6 weeks, 3 months, 6 months, and 12 months. Between-group comparisons used Welch <i>t</i>-tests and results are reported as mean differences with 95% confidence intervals. <b>Results</b>: A total of 147 patients were included (CR <i>n</i> = 71; PS <i>n</i> = 76). The prespecified primary endpoint, 12-month change in LEFS, was very similar between groups (mean difference 0.14 points, 95% CI -3.80 to 4.08; <i>p</i> = 0.94). LEFS improved from 49.1 ± 14.8 to 66.8 ± 11.6 in the CR group and from 47.9 ± 14.6 to 65.8 ± 12.4 in the PS group at 12 months. Lysholm scores increased to 88.5 ± 11.4 (CR) and 86.2 ± 10.6 (PS) (<i>p</i> = 0.21). EQ-5D-5L improved in both groups, with a non-significant difference at 12 months (<i>p</i> = 0.077). VAS pain decreased from 7.39 ± 1.19 to 1.59 ± 0.84 (CR) and from 7.55 ± 1.46 to 1.75 ± 0.90 (PS) (<i>p</i> = 0.27). Active flexion increased to 117.5 ± 10.5° (CR) and 115.0 ± 11.3° (PS) (<i>p</i> = 0.15). PROMIS Depression improved similarly in both groups, and satisfaction levels at 12 months were comparable. <b>Conclusions</b>: Both CR and PS TKA produced comparable improvements in pain, function, quality of life, mental health, and knee flexion in KOA patients aged 40-64 at one year. Implant design did not influence clinical benefit or PROMs in this cohort.","Vitalis Lorand, Feier Andrei Marian, Zuh Sandor György, Russu Octav Marius, Pop Tudor Sorin",Journal of clinical medicine,,https://pubmed.ncbi.nlm.nih.gov/41464794/,"Doctoral School, George Emil Palade University of Medicine, Pharmacy, Science, and Technology of Targu Mures, 540142 Targu Mures, Romania.; Department of Orthopaedics and Traumatology, Clinical County Hospital of Mureș, 540139 Targu Mures, Romania.; Department M4 Clinical Sciences, Orthopedics and Traumatology I, George Emil Palade University of Medicine, Pharmacy, Science, and Technology of Targu Mures, 540139 Targu Mures, Romania."
